*Sch DP	Act DP
07/15/2015 3:05 PM (We)	3:05PM
07/15/2015 3:15 PM (We)	3:17PM
07/15/2015 3:15 PM (We)	3:15PM
07/15/2015 3:30 PM (We)	3:30PM
07/15/2015 3:35 PM (We)	3:35PM
07/15/2015 3:40 PM (We)	3:40PM
07/15/2015 4:00 PM (We)	4:00PM
07/15/2015 4:00 PM (We)	4:00PM
07/15/2015 4:03 PM (We)	4:03PM
07/15/2015 4:05 PM (We)	4:05PM
07/15/2015 4:40 PM (We)	4:40PM
07/15/2015 4:42 PM (We)	4:43PM
07/15/2015 5:00 PM (We)	5:01PM
07/15/2015 5:00 PM (We)	5:00PM
07/15/2015 5:10 PM (We)	5:10PM
07/15/2015 5:39 PM (We)	5:39PM
07/15/2015 5:42 PM (We)	5:44PM
07/15/2015 5:47 PM (We)	5:49PM
07/15/2015 6:00 PM (We)	6:00PM
07/15/2015 6:00 PM (We)	6:00PM
07/15/2015 6:25 PM (We)	6:25PM
07/15/2015 6:35 PM (We)	6:35PM
07/15/2015 6:45 PM (We)	6:45PM
07/15/2015 6:45 PM (We)	6:45PM
07/15/2015 7:00 PM (We)	7:00PM
07/15/2015 7:00 PM (We)	7:03PM
07/15/2015 7:15 PM (We)	7:15PM
07/15/2015 7:40 PM (We)	7:40PM
07/15/2015 7:50 PM (We)	7:50PM
07/15/2015 8:00 PM (We)	8:13PM
07/15/2015 8:55 PM (We)	8:55PM
07/15/2015 9:05 PM (We)	9:06PM
07/15/2015 9:10 PM (We)	9:11PM
07/15/2015 10:05 PM (We)	10:05PM
07/15/2015 10:45 PM (We)	10:45PM
07/15/2015 11:15 PM (We)	11:16PM
07/16/2015 2:40 AM (Th)	2:40AM
07/16/2015 3:00 AM (Th)	3:00AM
07/16/2015 4:40 AM (Th)	4:41AM
07/16/2015 5:30 AM (Th)	5:30AM
07/16/2015 6:00 AM (Th)	6:00AM
07/16/2015 6:05 AM (Th)	6:06AM
07/16/2015 6:10 AM (Th)	6:11AM
07/16/2015 6:20 AM (Th)	6:21AM
07/16/2015 6:55 AM (Th)	6:55AM
07/16/2015 7:00 AM (Th)	7:02AM
07/16/2015 7:05 AM (Th)	7:05AM
07/16/2015 7:15 AM (Th)	7:22AM
07/16/2015 7:17 AM (Th)	7:20AM
07/16/2015 7:25 AM (Th)	7:26AM
07/16/2015 8:00 AM (Th)	8:00AM
07/16/2015 8:00 AM (Th)	8:00AM
07/16/2015 8:10 AM (Th)	8:14AM
07/16/2015 8:15 AM (Th)	8:18AM
07/16/2015 8:30 AM (Th)	8:35AM
07/16/2015 9:00 AM (Th)	9:30AM
07/16/2015 9:30 AM (Th)	9:33AM
07/16/2015 9:35 AM (Th)	9:44AM
07/16/2015 10:00 AM (Th)	10:00AM
07/16/2015 10:03 AM (Th)	10:03AM
07/16/2015 10:20 AM (Th)	10:22AM
07/16/2015 10:35 AM (Th)	10:55AM
07/16/2015 10:52 AM (Th)	11:03AM
07/16/2015 11:00 AM (Th)	11:16AM
07/16/2015 11:00 AM (Th)	11:04AM
07/16/2015 11:02 AM (Th)	11:09AM
07/16/2015 11:20 AM (Th)	11:20AM
07/16/2015 11:33 AM (Th)	11:56AM
07/16/2015 11:35 AM (Th)	11:37AM
07/16/2015 12:00 PM (Th)	12:00PM
07/16/2015 12:03 PM (Th)	12:29PM
07/16/2015 12:05 PM (Th)	12:08PM
07/16/2015 12:30 PM (Th)	12:38PM
07/16/2015 12:35 PM (Th)	12:35PM
07/16/2015 1:00 PM (Th)	1:06PM
07/16/2015 1:03 PM (Th)	1:04PM
07/16/2015 1:20 PM (Th)	1:20PM
07/16/2015 2:00 PM (Th)	2:00PM
07/16/2015 2:00 PM (Th)	2:00PM
07/16/2015 2:02 PM (Th)	2:09PM
07/16/2015 2:11 PM (Th)	2:16PM
07/16/2015 2:15 PM (Th)	2:15PM
07/16/2015 2:20 PM (Th)	2:31PM
07/16/2015 2:44 PM (Th)	2:44PM
07/16/2015 3:00 PM (Th)	3:00PM
07/16/2015 3:00 PM (Th)	3:08PM
07/16/2015 3:05 PM (Th)	3:05PM
07/16/2015 3:15 PM (Th)	3:46PM
07/16/2015 3:15 PM (Th)	3:18PM
07/16/2015 3:30 PM (Th)	3:30PM
07/16/2015 3:35 PM (Th)	3:46PM
07/16/2015 3:40 PM (Th)	3:40PM
07/16/2015 4:00 PM (Th)	4:03PM
07/16/2015 4:00 PM (Th)	4:00PM
07/16/2015 4:03 PM (Th)	4:03PM
07/16/2015 4:05 PM (Th)	4:05PM
07/16/2015 4:40 PM (Th)	4:41PM
07/16/2015 4:42 PM (Th)	4:42PM
07/16/2015 5:00 PM (Th)	5:00PM
07/16/2015 5:00 PM (Th)	5:11PM
07/16/2015 5:10 PM (Th)	5:10PM
07/16/2015 5:39 PM (Th)	5:39PM
07/16/2015 5:42 PM (Th)	6:49PM
07/16/2015 5:47 PM (Th)	5:48PM
07/16/2015 6:00 PM (Th)	6:01PM
07/16/2015 6:00 PM (Th)	6:41PM
07/16/2015 6:25 PM (Th)	6:25PM
07/16/2015 6:35 PM (Th)	6:35PM
07/16/2015 6:45 PM (Th)	6:53PM
07/16/2015 6:45 PM (Th)	6:46PM
07/16/2015 7:00 PM (Th)	7:00PM
07/16/2015 7:00 PM (Th)	7:11PM
07/16/2015 7:15 PM (Th)	7:15PM
07/16/2015 7:40 PM (Th)	7:43PM
07/16/2015 7:50 PM (Th)	7:50PM
07/16/2015 8:00 PM (Th)	8:00PM
07/16/2015 8:55 PM (Th)	8:55PM
07/16/2015 9:05 PM (Th)	9:08PM
07/16/2015 9:10 PM (Th)	9:11PM
07/16/2015 10:05 PM (Th)	10:18PM
07/16/2015 10:45 PM (Th)	10:46PM
07/16/2015 11:15 PM (Th)	11:15PM
07/17/2015 2:40 AM (Fr)	2:40AM
07/17/2015 3:00 AM (Fr)	3:00AM
07/17/2015 4:40 AM (Fr)	4:47AM
07/17/2015 5:30 AM (Fr)	5:30AM
07/17/2015 6:00 AM (Fr)	6:02AM
07/17/2015 6:05 AM (Fr)	6:06AM
07/17/2015 6:10 AM (Fr)	6:13AM
07/17/2015 6:20 AM (Fr)	6:21AM
07/17/2015 6:45 AM (Fr)	6:45AM
07/17/2015 6:55 AM (Fr)	6:55AM
07/17/2015 7:00 AM (Fr)	7:00AM
07/17/2015 7:05 AM (Fr)	7:05AM
07/17/2015 7:15 AM (Fr)	7:16AM
07/17/2015 7:17 AM (Fr)	7:17AM
07/17/2015 7:25 AM (Fr)	7:25AM
07/17/2015 8:00 AM (Fr)	8:00AM
07/17/2015 8:00 AM (Fr)	8:01AM
07/17/2015 8:10 AM (Fr)	8:12AM
07/17/2015 8:15 AM (Fr)	8:17AM
07/17/2015 8:30 AM (Fr)	8:35AM
07/17/2015 9:00 AM (Fr)	9:01AM
07/17/2015 9:30 AM (Fr)	9:30AM
07/17/2015 9:35 AM (Fr)	9:47AM
07/17/2015 10:00 AM (Fr)	10:00AM
07/17/2015 10:03 AM (Fr)	10:03AM
07/17/2015 10:20 AM (Fr)	10:20AM
07/17/2015 10:35 AM (Fr)	10:35AM
07/17/2015 10:52 AM (Fr)	10:52AM
07/17/2015 11:00 AM (Fr)	11:06AM
07/17/2015 11:00 AM (Fr)	11:00AM
07/17/2015 11:02 AM (Fr)	11:02AM
07/17/2015 11:20 AM (Fr)	11:20AM
07/17/2015 11:33 AM (Fr)	11:33AM
07/17/2015 11:35 AM (Fr)	11:35AM
07/17/2015 12:00 PM (Fr)	12:00PM
07/17/2015 12:03 PM (Fr)	12:04PM
07/17/2015 12:05 PM (Fr)	12:05PM
07/17/2015 12:30 PM (Fr)	1:17PM
07/17/2015 12:35 PM (Fr)	12:41PM
07/17/2015 1:00 PM (Fr)	1:02PM
07/17/2015 1:03 PM (Fr)	1:03PM
07/17/2015 1:09 PM (Fr)	1:09PM
07/17/2015 1:20 PM (Fr)	1:20PM
07/17/2015 2:00 PM (Fr)	2:08PM
07/17/2015 2:00 PM (Fr)	2:00PM
07/17/2015 2:02 PM (Fr)	2:15PM
07/17/2015 2:11 PM (Fr)	2:13PM
07/17/2015 2:15 PM (Fr)	2:15PM
07/17/2015 2:20 PM (Fr)	2:20PM
07/17/2015 2:44 PM (Fr)	2:44PM
07/17/2015 3:00 PM (Fr)	3:06PM
07/17/2015 3:00 PM (Fr)	3:00PM
07/17/2015 3:05 PM (Fr)	3:05PM
07/17/2015 3:15 PM (Fr)	4:26PM
07/17/2015 3:15 PM (Fr)	3:24PM
07/17/2015 3:30 PM (Fr)	3:31PM
07/17/2015 3:35 PM (Fr)	3:40PM
07/17/2015 3:40 PM (Fr)	3:43PM
07/17/2015 4:00 PM (Fr)	4:00PM
07/17/2015 4:00 PM (Fr)	4:07PM
07/17/2015 4:03 PM (Fr)	4:03PM
07/17/2015 4:05 PM (Fr)	4:05PM
07/17/2015 4:40 PM (Fr)	4:48PM
07/17/2015 4:42 PM (Fr)	4:42PM
07/17/2015 5:00 PM (Fr)	5:05PM
07/17/2015 5:00 PM (Fr)	5:00PM
07/17/2015 5:10 PM (Fr)	5:10PM
07/17/2015 5:39 PM (Fr)	5:43PM
07/17/2015 5:42 PM (Fr)	6:05PM
07/17/2015 5:47 PM (Fr)	5:47PM
07/17/2015 6:00 PM (Fr)	6:02PM
07/17/2015 6:00 PM (Fr)	6:00PM
07/17/2015 6:25 PM (Fr)	6:25PM
07/17/2015 6:35 PM (Fr)	6:35PM
07/17/2015 6:45 PM (Fr)	6:45PM
07/17/2015 6:45 PM (Fr)	6:48PM
07/17/2015 7:00 PM (Fr)	7:01PM
07/17/2015 7:00 PM (Fr)	7:02PM
07/17/2015 7:15 PM (Fr)	7:15PM
07/17/2015 7:40 PM (Fr)	7:50PM
07/17/2015 7:50 PM (Fr)	7:50PM
07/17/2015 8:00 PM (Fr)	8:10PM
07/17/2015 8:55 PM (Fr)	8:55PM
07/17/2015 8:57 PM (Fr)	8:59PM
07/17/2015 9:05 PM (Fr)	9:05PM
07/17/2015 9:10 PM (Fr)	9:10PM
07/17/2015 10:05 PM (Fr)	10:10PM
07/17/2015 10:45 PM (Fr)	11:10PM
07/17/2015 11:15 PM (Fr)	11:15PM
07/18/2015 2:40 AM (Sa)	2:40AM
07/18/2015 3:00 AM (Sa)	
07/18/2015 5:45 AM (Sa)	5:45AM
07/18/2015 6:05 AM (Sa)	7:17AM
07/18/2015 6:45 AM (Sa)	6:45AM
07/18/2015 7:00 AM (Sa)	7:00AM
07/18/2015 7:00 AM (Sa)	7:00AM
07/18/2015 7:05 AM (Sa)	7:05AM
07/18/2015 7:15 AM (Sa)	7:15AM
07/18/2015 8:00 AM (Sa)	8:02AM
07/18/2015 8:03 AM (Sa)	8:04AM
07/18/2015 8:05 AM (Sa)	8:05AM
07/18/2015 8:15 AM (Sa)	8:17AM
07/18/2015 9:00 AM (Sa)	9:02AM
07/18/2015 9:05 AM (Sa)	9:05AM
07/18/2015 9:09 AM (Sa)	9:09AM
07/18/2015 10:00 AM (Sa)	10:07AM
07/18/2015 10:00 AM (Sa)	10:00AM
07/18/2015 10:05 AM (Sa)	10:20AM
07/18/2015 10:20 AM (Sa)	10:20AM
07/18/2015 10:52 AM (Sa)	10:52AM
07/18/2015 11:02 AM (Sa)	11:06AM
07/18/2015 11:05 AM (Sa)	11:51AM
07/18/2015 11:20 AM (Sa)	11:20AM
07/18/2015 11:30 AM (Sa)	11:30AM
07/18/2015 12:00 PM (Sa)	12:29PM
07/18/2015 12:03 PM (Sa)	12:19PM
07/18/2015 12:05 PM (Sa)	12:06PM
07/18/2015 1:00 PM (Sa)	1:00PM
07/18/2015 1:05 PM (Sa)	1:06PM
07/18/2015 1:17 PM (Sa)	1:29PM
07/18/2015 1:20 PM (Sa)	1:20PM
07/18/2015 2:00 PM (Sa)	2:00PM
07/18/2015 2:05 PM (Sa)	2:09PM
07/18/2015 2:15 PM (Sa)	2:18PM
07/18/2015 3:00 PM (Sa)	3:14PM
07/18/2015 3:00 PM (Sa)	3:32PM
07/18/2015 3:04 PM (Sa)	3:07PM
07/18/2015 3:13 PM (Sa)	3:15PM
07/18/2015 3:15 PM (Sa)	3:19PM
07/18/2015 3:15 PM (Sa)	3:16PM
07/18/2015 3:40 PM (Sa)	3:44PM
07/18/2015 4:05 PM (Sa)	5:37PM
07/18/2015 4:30 PM (Sa)	4:30PM
07/18/2015 5:00 PM (Sa)	6:51PM
07/18/2015 5:05 PM (Sa)	5:05PM
07/18/2015 5:15 PM (Sa)	5:15PM
07/18/2015 5:17 PM (Sa)	5:17PM
07/18/2015 6:05 PM (Sa)	6:10PM
07/18/2015 7:00 PM (Sa)	7:04PM
07/18/2015 7:01 PM (Sa)	7:01PM
07/18/2015 7:15 PM (Sa)	7:15PM
07/18/2015 7:53 PM (Sa)	7:53PM
07/18/2015 8:00 PM (Sa)	8:04PM
07/18/2015 8:01 PM (Sa)	8:01PM
07/18/2015 9:05 PM (Sa)	9:05PM
07/18/2015 9:15 PM (Sa)	9:15PM
07/18/2015 11:05 PM (Sa)	11:06PM
07/18/2015 11:35 PM (Sa)	11:35PM
07/19/2015 2:40 AM (Su)	2:41AM
07/19/2015 3:00 AM (Su)	
07/19/2015 6:05 AM (Su)	6:05AM
07/19/2015 6:45 AM (Su)	6:45AM
07/19/2015 6:55 AM (Su)	7:02AM
07/19/2015 7:00 AM (Su)	7:00AM
07/19/2015 7:00 AM (Su)	7:00AM
07/19/2015 7:05 AM (Su)	7:24AM
07/19/2015 7:15 AM (Su)	7:20AM
07/19/2015 8:05 AM (Su)	8:05AM
07/19/2015 8:15 AM (Su)	8:21AM
07/19/2015 9:00 AM (Su)	9:00AM
07/19/2015 9:00 AM (Su)	9:01AM
07/19/2015 9:05 AM (Su)	9:05AM
07/19/2015 9:09 AM (Su)	9:44AM
07/19/2015 10:00 AM (Su)	10:00AM
07/19/2015 10:05 AM (Su)	10:14AM
07/19/2015 10:20 AM (Su)	10:25AM
07/19/2015 10:52 AM (Su)	10:52AM
07/19/2015 11:00 AM (Su)	11:01AM
07/19/2015 11:02 AM (Su)	11:02AM
07/19/2015 11:05 AM (Su)	11:47AM
07/19/2015 11:20 AM (Su)	11:20AM
07/19/2015 11:30 AM (Su)	11:30AM
07/19/2015 12:00 PM (Su)	12:00PM
07/19/2015 12:03 PM (Su)	12:12PM
07/19/2015 12:06 PM (Su)	12:06PM
07/19/2015 12:55 PM (Su)	12:55PM
07/19/2015 1:00 PM (Su)	1:06PM
07/19/2015 1:05 PM (Su)	1:05PM
07/19/2015 1:17 PM (Su)	1:18PM
07/19/2015 1:20 PM (Su)	1:20PM
07/19/2015 2:03 PM (Su)	2:12PM
07/19/2015 2:05 PM (Su)	2:22PM
07/19/2015 2:15 PM (Su)	2:18PM
07/19/2015 3:00 PM (Su)	3:01PM
07/19/2015 3:00 PM (Su)	3:32PM
07/19/2015 3:04 PM (Su)	3:04PM
07/19/2015 3:13 PM (Su)	3:13PM
07/19/2015 3:15 PM (Su)	3:18PM
07/19/2015 3:15 PM (Su)	3:16PM
07/19/2015 3:40 PM (Su)	3:42PM
07/19/2015 4:00 PM (Su)	4:00PM
07/19/2015 4:03 PM (Su)	4:58PM
07/19/2015 4:05 PM (Su)	4:24PM
07/19/2015 4:30 PM (Su)	4:31PM
07/19/2015 5:00 PM (Su)	5:03PM
07/19/2015 5:00 PM (Su)	5:01PM
07/19/2015 5:05 PM (Su)	5:05PM
07/19/2015 5:15 PM (Su)	5:17PM
07/19/2015 5:17 PM (Su)	5:17PM
07/19/2015 6:00 PM (Su)	6:00PM
07/19/2015 6:03 PM (Su)	6:08PM
07/19/2015 6:05 PM (Su)	6:15PM
07/19/2015 7:00 PM (Su)	7:17PM
07/19/2015 7:01 PM (Su)	7:03PM
07/19/2015 7:03 PM (Su)	7:16PM
07/19/2015 7:15 PM (Su)	7:15PM
07/19/2015 7:30 PM (Su)	7:31PM
07/19/2015 7:53 PM (Su)	7:53PM
07/19/2015 8:00 PM (Su)	8:00PM
07/19/2015 8:01 PM (Su)	8:01PM
07/19/2015 9:00 PM (Su)	9:00PM
07/19/2015 9:05 PM (Su)	9:05PM
07/19/2015 9:15 PM (Su)	9:15PM
07/19/2015 10:05 PM (Su)	10:16PM
07/19/2015 11:05 PM (Su)	11:19PM
07/19/2015 11:35 PM (Su)	11:37PM
07/19/2015 11:58 PM (Su)	11:58PM
07/20/2015 2:40 AM (Mo)	3:33AM
07/20/2015 3:00 AM (Mo)	3:00AM
07/20/2015 4:40 AM (Mo)	4:40AM
07/20/2015 5:30 AM (Mo)	5:30AM
07/20/2015 6:00 AM (Mo)	6:02AM
07/20/2015 6:05 AM (Mo)	6:08AM
07/20/2015 6:10 AM (Mo)	6:10AM
07/20/2015 6:20 AM (Mo)	6:20AM
07/20/2015 6:55 AM (Mo)	6:59AM
07/20/2015 7:00 AM (Mo)	7:03AM
07/20/2015 7:05 AM (Mo)	7:05AM
07/20/2015 7:15 AM (Mo)	7:15AM
07/20/2015 7:17 AM (Mo)	7:17AM
07/20/2015 7:25 AM (Mo)	7:25AM
07/20/2015 8:00 AM (Mo)	8:00AM
07/20/2015 8:00 AM (Mo)	8:02AM
07/20/2015 8:10 AM (Mo)	8:12AM
07/20/2015 8:15 AM (Mo)	8:20AM
07/20/2015 8:30 AM (Mo)	8:37AM
07/20/2015 9:00 AM (Mo)	9:01AM
07/20/2015 9:30 AM (Mo)	9:30AM
07/20/2015 9:35 AM (Mo)	9:39AM
07/20/2015 10:00 AM (Mo)	10:00AM
07/20/2015 10:03 AM (Mo)	10:10AM
07/20/2015 10:20 AM (Mo)	10:21AM
07/20/2015 10:35 AM (Mo)	10:37AM
07/20/2015 10:52 AM (Mo)	10:53AM
07/20/2015 11:00 AM (Mo)	11:05AM
07/20/2015 11:00 AM (Mo)	11:00AM
07/20/2015 11:02 AM (Mo)	11:02AM
07/20/2015 11:20 AM (Mo)	11:21AM
07/20/2015 11:33 AM (Mo)	11:33AM
07/20/2015 11:35 AM (Mo)	11:35AM
07/20/2015 12:00 PM (Mo)	12:00PM
07/20/2015 12:03 PM (Mo)	1:01PM
07/20/2015 12:05 PM (Mo)	12:05PM
07/20/2015 12:30 PM (Mo)	1:41PM
07/20/2015 12:35 PM (Mo)	12:42PM
07/20/2015 1:00 PM (Mo)	1:04PM
07/20/2015 1:03 PM (Mo)	1:13PM
07/20/2015 1:20 PM (Mo)	1:21PM
07/20/2015 2:00 PM (Mo)	2:01PM
07/20/2015 2:00 PM (Mo)	2:00PM
07/20/2015 2:02 PM (Mo)	2:11PM
07/20/2015 2:11 PM (Mo)	2:15PM
07/20/2015 2:15 PM (Mo)	2:17PM
07/20/2015 2:20 PM (Mo)	2:20PM
07/20/2015 2:44 PM (Mo)	2:44PM
07/20/2015 3:00 PM (Mo)	3:04PM
07/20/2015 3:00 PM (Mo)	3:02PM
07/20/2015 3:05 PM (Mo)	3:08PM
07/20/2015 3:15 PM (Mo)	3:15PM
07/20/2015 3:15 PM (Mo)	3:15PM
07/20/2015 3:30 PM (Mo)	3:33PM
07/20/2015 3:35 PM (Mo)	3:39PM
07/20/2015 3:40 PM (Mo)	3:45PM
07/20/2015 4:00 PM (Mo)	4:06PM
07/20/2015 4:00 PM (Mo)	4:00PM
07/20/2015 4:03 PM (Mo)	4:03PM
07/20/2015 4:05 PM (Mo)	4:06PM
07/20/2015 4:40 PM (Mo)	4:41PM
07/20/2015 4:42 PM (Mo)	6:11PM
07/20/2015 5:00 PM (Mo)	5:00PM
07/20/2015 5:00 PM (Mo)	5:00PM
07/20/2015 5:10 PM (Mo)	5:16PM
07/20/2015 5:39 PM (Mo)	6:01PM
07/20/2015 5:42 PM (Mo)	7:30PM
07/20/2015 5:47 PM (Mo)	5:50PM
07/20/2015 6:00 PM (Mo)	6:26PM
07/20/2015 6:00 PM (Mo)	6:29PM
07/20/2015 6:25 PM (Mo)	7:09PM
07/20/2015 6:35 PM (Mo)	7:17PM
07/20/2015 6:45 PM (Mo)	7:47PM
07/20/2015 6:45 PM (Mo)	7:10PM
07/20/2015 7:00 PM (Mo)	7:12PM
07/20/2015 7:00 PM (Mo)	7:43PM
07/20/2015 7:15 PM (Mo)	7:57PM
07/20/2015 7:40 PM (Mo)	8:00PM
07/20/2015 7:50 PM (Mo)	8:17PM
07/20/2015 8:00 PM (Mo)	8:13PM
07/20/2015 8:55 PM (Mo)	8:55PM
07/20/2015 9:05 PM (Mo)	9:19PM
07/20/2015 9:10 PM (Mo)	9:11PM
07/20/2015 10:05 PM (Mo)	10:20PM
07/20/2015 10:45 PM (Mo)	10:45PM
07/20/2015 11:15 PM (Mo)	11:15PM
07/21/2015 2:40 AM (Tu)	2:40AM
07/21/2015 3:00 AM (Tu)	
07/21/2015 4:40 AM (Tu)	4:40AM
07/21/2015 5:30 AM (Tu)	5:30AM
07/21/2015 6:00 AM (Tu)	6:00AM
07/21/2015 6:05 AM (Tu)	6:07AM
07/21/2015 6:10 AM (Tu)	6:11AM
07/21/2015 6:20 AM (Tu)	6:22AM
07/21/2015 6:55 AM (Tu)	6:55AM
07/21/2015 7:00 AM (Tu)	7:00AM
07/21/2015 7:05 AM (Tu)	7:05AM
07/21/2015 7:15 AM (Tu)	7:17AM
07/21/2015 7:17 AM (Tu)	7:20AM
07/21/2015 7:25 AM (Tu)	7:25AM
07/21/2015 8:00 AM (Tu)	8:00AM
07/21/2015 8:00 AM (Tu)	8:02AM
07/21/2015 8:10 AM (Tu)	8:11AM
07/21/2015 8:15 AM (Tu)	8:16AM
07/21/2015 8:30 AM (Tu)	8:30AM
07/21/2015 9:00 AM (Tu)	9:21AM
07/21/2015 9:30 AM (Tu)	9:34AM
07/21/2015 9:35 AM (Tu)	9:37AM
07/21/2015 10:00 AM (Tu)	10:00AM
07/21/2015 10:03 AM (Tu)	10:04AM
07/21/2015 10:20 AM (Tu)	10:20AM
07/21/2015 10:35 AM (Tu)	10:51AM
07/21/2015 10:52 AM (Tu)	10:52AM
07/21/2015 11:00 AM (Tu)	11:42AM
07/21/2015 11:00 AM (Tu)	11:01AM
07/21/2015 11:02 AM (Tu)	12:02PM
07/21/2015 11:20 AM (Tu)	11:20AM
07/21/2015 11:33 AM (Tu)	11:44AM
07/21/2015 11:35 AM (Tu)	11:35AM
07/21/2015 12:00 PM (Tu)	12:00PM
07/21/2015 12:03 PM (Tu)	12:03PM
07/21/2015 12:05 PM (Tu)	12:05PM
07/21/2015 12:30 PM (Tu)	12:53PM
07/21/2015 12:35 PM (Tu)	12:44PM
07/21/2015 1:00 PM (Tu)	1:01PM
07/21/2015 1:03 PM (Tu)	1:03PM
07/21/2015 1:20 PM (Tu)	1:21PM
07/21/2015 2:00 PM (Tu)	2:00PM
07/21/2015 2:00 PM (Tu)	2:00PM
07/21/2015 2:02 PM (Tu)	2:05PM
07/21/2015 2:11 PM (Tu)	2:12PM
07/21/2015 2:15 PM (Tu)	2:17PM
07/21/2015 2:20 PM (Tu)	2:20PM
07/21/2015 2:44 PM (Tu)	2:44PM
07/21/2015 3:00 PM (Tu)	3:02PM
07/21/2015 3:00 PM (Tu)	3:00PM
07/21/2015 3:05 PM (Tu)	3:06PM
07/21/2015 3:15 PM (Tu)	3:15PM
07/21/2015 3:15 PM (Tu)	3:15PM
07/21/2015 3:30 PM (Tu)	3:30PM
07/21/2015 3:35 PM (Tu)	3:37PM
07/21/2015 3:40 PM (Tu)	3:40PM
07/21/2015 4:00 PM (Tu)	4:00PM
07/21/2015 4:00 PM (Tu)	4:00PM
07/21/2015 4:03 PM (Tu)	4:03PM
07/21/2015 4:05 PM (Tu)	4:05PM
07/21/2015 4:40 PM (Tu)	4:40PM
07/21/2015 4:42 PM (Tu)	4:42PM
07/21/2015 5:00 PM (Tu)	5:19PM
07/21/2015 5:00 PM (Tu)	5:00PM
07/21/2015 5:10 PM (Tu)	5:10PM
07/21/2015 5:39 PM (Tu)	5:51PM
07/21/2015 5:42 PM (Tu)	6:32PM
07/21/2015 5:47 PM (Tu)	5:47PM
07/21/2015 6:00 PM (Tu)	6:02PM
07/21/2015 6:00 PM (Tu)	6:00PM
07/21/2015 6:25 PM (Tu)	6:27PM
07/21/2015 6:35 PM (Tu)	6:35PM
07/21/2015 6:45 PM (Tu)	6:45PM
07/21/2015 6:45 PM (Tu)	6:47PM
07/21/2015 7:00 PM (Tu)	7:35PM
07/21/2015 7:00 PM (Tu)	7:06PM
07/21/2015 7:15 PM (Tu)	7:15PM
07/21/2015 7:40 PM (Tu)	8:04PM
07/21/2015 7:50 PM (Tu)	7:50PM
07/21/2015 8:00 PM (Tu)	8:09PM
07/21/2015 8:55 PM (Tu)	8:55PM
07/21/2015 9:05 PM (Tu)	9:27PM
07/21/2015 9:10 PM (Tu)	9:10PM
07/21/2015 10:05 PM (Tu)	10:10PM
07/21/2015 10:45 PM (Tu)	10:52PM
07/21/2015 11:15 PM (Tu)	11:15PM
07/22/2015 2:40 AM (We)	2:53AM
07/22/2015 3:00 AM (We)	4:25AM
07/22/2015 4:40 AM (We)	4:42AM
07/22/2015 5:30 AM (We)	6:30AM
07/22/2015 6:00 AM (We)	6:25AM
07/22/2015 6:05 AM (We)	6:57AM
07/22/2015 6:10 AM (We)	6:50AM
07/22/2015 6:20 AM (We)	6:28AM
07/22/2015 6:45 AM (We)	7:10AM
07/22/2015 6:55 AM (We)	6:56AM
07/22/2015 7:00 AM (We)	7:06AM
07/22/2015 7:05 AM (We)	7:38AM
07/22/2015 7:15 AM (We)	7:54AM
07/22/2015 7:17 AM (We)	7:52AM
07/22/2015 7:25 AM (We)	7:40AM
07/22/2015 8:00 AM (We)	8:07AM
07/22/2015 8:00 AM (We)	8:38AM
07/22/2015 8:10 AM (We)	8:13AM
07/22/2015 8:15 AM (We)	8:26AM
07/22/2015 8:30 AM (We)	10:40AM
07/22/2015 9:00 AM (We)	9:00AM
07/22/2015 9:30 AM (We)	9:36AM
07/22/2015 9:35 AM (We)	9:49AM
07/22/2015 10:00 AM (We)	10:03AM
07/22/2015 10:03 AM (We)	10:27AM
07/22/2015 10:20 AM (We)	10:26AM
07/22/2015 10:35 AM (We)	10:38AM
07/22/2015 10:52 AM (We)	10:52AM
07/22/2015 11:00 AM (We)	11:16AM
07/22/2015 11:00 AM (We)	11:00AM
07/22/2015 11:02 AM (We)	11:03AM
07/22/2015 11:20 AM (We)	11:20AM
07/22/2015 11:33 AM (We)	11:34AM
07/22/2015 11:35 AM (We)	11:35AM
07/22/2015 12:00 PM (We)	12:00PM
07/22/2015 12:03 PM (We)	12:03PM
07/22/2015 12:05 PM (We)	12:06PM
07/22/2015 12:30 PM (We)	12:30PM
07/22/2015 12:35 PM (We)	12:43PM
07/22/2015 1:00 PM (We)	1:16PM
07/22/2015 1:03 PM (We)	1:03PM
07/22/2015 1:20 PM (We)	1:20PM
07/22/2015 2:00 PM (We)	2:00PM
07/22/2015 2:00 PM (We)	2:00PM
07/22/2015 2:02 PM (We)	2:15PM
07/22/2015 2:11 PM (We)	2:11PM
07/22/2015 2:15 PM (We)	2:17PM
07/22/2015 2:20 PM (We)	2:21PM
07/22/2015 2:44 PM (We)	2:45PM
07/22/2015 3:00 PM (We)	3:00PM
07/22/2015 3:00 PM (We)	3:00PM
07/22/2015 3:05 PM (We)	3:05PM
07/22/2015 3:15 PM (We)	3:16PM
07/22/2015 3:15 PM (We)	3:16PM
07/22/2015 3:30 PM (We)	3:41PM
07/22/2015 3:35 PM (We)	3:55PM
07/22/2015 3:40 PM (We)	3:44PM
07/22/2015 4:00 PM (We)	4:00PM
07/22/2015 4:00 PM (We)	4:04PM
07/22/2015 4:03 PM (We)	4:03PM
07/22/2015 4:05 PM (We)	4:05PM
07/22/2015 4:40 PM (We)	5:46PM
07/22/2015 4:42 PM (We)	4:42PM
